"Tabla","Columna","Tipo de Dato","Permite Nulos","Llave","Extra"
_tmp_facturas_ia,id,int,NO,"",""
_tmp_facturas_ia,gn_empresas_id,int,NO,"",""
_tmp_facturas_ia,cm_grupos_id,int,NO,"",""
_tmp_facturas_ia,cnt_prestadores_id,int,NO,"",""
_tmp_facturas_ia,cm_rips_cargas_id,int,YES,"",""
_tmp_facturas_ia,gn_usuarios_lider_id,int,NO,"",""
_tmp_facturas_ia,gn_usuarios_tecnico_id,int,YES,"",""
_tmp_facturas_ia,gn_usuarios_medico_id,int,YES,"",""
_tmp_facturas_ia,gn_usuarios_gestiona_id,int,YES,"",""
_tmp_facturas_ia,cm_fe_rips_cargas_id,int,YES,"",""
_tmp_facturas_ia,mae_tipo_contrato_id,int,NO,"",""
_tmp_facturas_ia,mae_tipo_contrato_codigo,varchar(8),YES,"",""
_tmp_facturas_ia,mae_tipo_contrato_valor,varchar(128),YES,"",""
_tmp_facturas_ia,nit,varchar(16),NO,"",""
_tmp_facturas_ia,ips,varchar(256),NO,"",""
_tmp_facturas_ia,numero_radicado,int,NO,"",""
_tmp_facturas_ia,numero_facturado,varchar(32),NO,"",""
_tmp_facturas_ia,fecha_prestacion,datetime,YES,"",""
_tmp_facturas_ia,fecha_radicacion,datetime,NO,"",""
_tmp_facturas_ia,multiusuario,bit(1),NO,"",""
_tmp_facturas_ia,valor_pendiente_actual,"decimal(20,4)",YES,"",""
_tmp_facturas_ia,valor_inicial_glosa,"decimal(20,4)",NO,"",""
_tmp_facturas_ia,marcacion,int,NO,"",""
_tmp_facturas_ia,fecha_marcacion,datetime,YES,"",""
_tmp_facturas_ia,fecha_vencimiento,datetime,YES,"",""
_tmp_facturas_ia,tipo_auditoria,int,NO,"",""
_tmp_facturas_ia,historial_proceso,varchar(512),YES,"",""
_tmp_facturas_ia,valor_factura,"decimal(20,4)",NO,"",""
_tmp_facturas_ia,valor_pagado_factura,"decimal(20,4)",YES,"",""
_tmp_facturas_ia,valor_copago,"decimal(20,4)",YES,"",""
_tmp_facturas_ia,valor_bruto,"decimal(20,4)",YES,"",""
_tmp_facturas_ia,valor_cuota_moderadora,"decimal(20,4)",YES,"",""
_tmp_facturas_ia,mae_regimen_id,int,NO,"",""
_tmp_facturas_ia,mae_regimen_codigo,varchar(8),YES,"",""
_tmp_facturas_ia,mae_regimen_valor,varchar(128),YES,"",""
_tmp_facturas_ia,estado_factura,int,NO,"",""
_tmp_facturas_ia,pbs,bit(1),YES,"",""
_tmp_facturas_ia,numero_contrato,varchar(32),NO,"",""
_tmp_facturas_ia,impuesto_timbre,bit(1),NO,"",""
_tmp_facturas_ia,origen_factura,int,NO,"",""
_tmp_facturas_ia,usuario_audita,varchar(128),YES,"",""
_tmp_facturas_ia,terminal_audita,varchar(16),YES,"",""
_tmp_facturas_ia,fecha_hora_audita,datetime,YES,"",""
_tmp_facturas_ia,usuario_devuelve,varchar(128),YES,"",""
_tmp_facturas_ia,terminal_devuelve,varchar(16),YES,"",""
_tmp_facturas_ia,fecha_hora_devuelve,datetime,YES,"",""
_tmp_facturas_ia,usuario_respuesta,varchar(128),YES,"",""
_tmp_facturas_ia,terminal_respuesta,varchar(16),YES,"",""
_tmp_facturas_ia,fecha_hora_respuesta,datetime,YES,"",""
_tmp_facturas_ia,usuario_concilia,varchar(128),YES,"",""
_tmp_facturas_ia,terminal_concilia,varchar(16),YES,"",""
_tmp_facturas_ia,fecha_hora_concilia,datetime,YES,"",""
_tmp_facturas_ia,respuesta_ips,bit(1),NO,"",""
_tmp_facturas_ia,fecha_marcacion_respuesta_ips,datetime,YES,"",""
_tmp_facturas_ia,fecha_asignacion_tecnico,datetime,YES,"",""
_tmp_facturas_ia,fecha_asignacion_medico,datetime,YES,"",""
_tmp_facturas_ia,version,tinyint(1),NO,"",""
_tmp_facturas_ia,usuario_crea,varchar(128),NO,"",""
_tmp_facturas_ia,terminal_crea,varchar(16),NO,"",""
_tmp_facturas_ia,fecha_hora_crea,datetime,NO,"",""
_tmp_facturas_ia,usuario_modifica,varchar(128),YES,"",""
_tmp_facturas_ia,terminal_modifica,varchar(16),YES,"",""
